,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Gender,Age,Personal_Income,Financial_Situation,Bill_Payments,Education,Credit_Debt,Additional_Income_Private_Investment,Additional_Income_Property,Additional_Income_Business_Ownership,Additional_Income_Retirement_Plan,Loss_Awareness,Loss_Intuition,Country,Duration_in_seconds,Language,Sample,Duration_Minutes,YoB,Awareness_of_Loss_Aversion,Financial_Stress,Presentation_Order
0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,27,3000,Became a little better,I paid everything and saved some,University Undergraduate,I pay off any balances every month,0,0,1,0,0,1.0,Bulgaria,356,Bulgarian,Direct,5.933333333333334,1992,3,,4|6|2|3|17|18|14|8|7|15|1|12|11|5|13|16|9|10
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Female,44,10000,Has not changed,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,1,0,0,0,1.0,Bulgaria,462,Bulgarian,Direct,7.7,1975,3,,11|8|4|7|12|18|3|14|6|16|17|1|2|13|5|15|9|10
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Male,42,1,Became a little better,I paid everything and saved some,University Masters,I generally pay off the interest but not the balance,0,1,0,0,1,,Bulgaria,412,Bulgarian,Direct,6.866666666666666,1977,1,,16|7|6|9|12|18|10|8|5|15|2|3|4|14|11|1|17|13
3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Female,49,2000,Became a little better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,490,Bulgarian,Direct,8.166666666666666,1970,1,,13|4|3|7|9|18|16|8|14|1|6|12|17|10|5|2|11|15
4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Female,41,40000,Has not changed,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,0,0.0,Bulgaria,409,Bulgarian,Direct,6.816666666666666,1978,4,,9|12|13|14|16|18|10|8|7|17|1|6|4|5|2|15|11|3
5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,33,2300,Became a little worse,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,680,Bulgarian,Direct,11.333333333333334,1986,3,,6|13|7|8|5|18|10|11|17|3|2|1|16|12|4|14|15|9
6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Female,37,60000,Became a little better,"I paid everything, saved some, and paid down other debts",University PhD,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,645,Bulgarian,Direct,10.75,1982,3,,5|3|2|15|9|18|12|10|17|13|11|16|7|14|1|6|4|8
7,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Female,42,8000,Became a little worse,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,568,Bulgarian,Direct,9.466666666666667,1977,3,,7|13|16|9|11|18|10|12|3|5|15|6|1|17|8|14|2|4
8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Male,52,22000,Has not changed,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,1,0,0,0,0.0,Bulgaria,562,Bulgarian,Direct,9.366666666666667,1967,4,,11|15|4|9|16|18|13|10|7|5|12|8|6|2|1|14|17|3
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Female,48,15000,Has not changed,I paid everything but saved nothing,University Undergraduate,I pay off any balances every month,0,0,0,0,1,,Bulgaria,433,Bulgarian,Direct,7.216666666666667,1971,1,,8|17|4|15|2|18|14|5|11|13|3|7|6|1|16|10|12|9
10,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Female,49,30000,Has not changed,"I paid everything, saved some, and paid down other debts",University Masters,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,482,Bulgarian,Direct,8.033333333333333,1970,3,,1|6|5|17|12|18|9|15|3|10|2|14|13|16|11|8|7|4
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,48,12000,Has not changed,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,1,0,0,0,1.0,Bulgaria,433,Bulgarian,Direct,7.216666666666667,1971,3,,4|2|17|5|8|18|11|12|14|16|3|15|9|6|13|7|1|10
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Female,34,20000,Has not changed,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,408,Bulgarian,Direct,6.8,1985,1,,4|7|1|8|11|18|9|14|10|12|13|6|15|5|17|2|3|16
13,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Male,21,1130,Became much worse,I had to take on some debt to pay them,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,621,Bulgarian,Direct,10.35,1998,1,,13|5|15|17|1|18|14|7|2|8|9|16|4|6|3|11|10|12
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Male,42,15000,Became a little worse,I could not pay all my bills last month,University PhD,I pay off any balances every month,0,0,1,0,1,,Bulgaria,641,Bulgarian,Direct,10.683333333333334,1977,1,,5|8|14|12|11|18|7|6|2|3|15|9|16|13|4|1|17|10
15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Female,31,37000,Has not changed,I paid everything but saved nothing,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,426,Bulgarian,Direct,7.1,1988,1,,14|16|4|12|6|18|7|11|13|2|5|9|17|3|1|15|8|10
16,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Female,42,20,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,1,0,0,1,,Bulgaria,472,Bulgarian,Direct,7.866666666666666,1977,1,,2|12|10|17|15|18|1|11|4|13|9|16|14|7|3|6|5|8
17,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,Male,22,1700,Became a little better,"I paid everything, saved some, and paid down other debts",Secondary school,I pay off any balances every month,0,0,0,0,1,,Bulgaria,593,Bulgarian,Direct,9.883333333333333,1997,1,,11|1|7|5|14|18|10|2|17|4|8|9|3|6|16|15|13|12
18,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,40,5000,Became much worse,I could not pay all my bills last month,Vocational school,I generally pay off the interest but not the balance,0,0,0,0,1,,Bulgaria,635,Bulgarian,Direct,10.583333333333334,1979,1,,10|16|2|3|4|18|17|6|13|12|8|1|7|9|11|5|14|15
19,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,52,10000,Became a little worse,I could not pay all my bills last month,University Undergraduate,I make the minimum payment and the interest is charged,0,1,0,0,0,1.0,Bulgaria,780,Bulgarian,Direct,13.0,1967,3,,13|1|17|2|3|18|15|8|12|10|16|4|7|5|9|14|6|11
20,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,20,0,Became a little better,I paid everything but saved nothing,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,351,Bulgarian,Direct,5.85,1999,1,,8|12|17|5|14|18|6|7|1|13|16|9|11|2|15|3|4|10
21,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Female,23,30000,Became much worse,I could not pay all my bills last month,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,202,Bulgarian,Direct,3.3666666666666667,1996,1,,5|12|17|4|10|18|16|1|11|8|6|14|13|2|3|7|15|9
22,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Female,23,4000,Became a little better,I had to take on some debt to pay them,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,391,Bulgarian,Direct,6.516666666666667,1996,1,,2|3|7|4|8|18|5|9|17|13|6|12|11|14|15|16|1|10
23,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,28,1500,Became a little better,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,565,Bulgarian,Direct,9.416666666666666,1991,3,,2|5|8|13|14|18|6|12|17|4|10|16|3|7|15|11|1|9
24,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,33,28000,Became much better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,694,Bulgarian,Direct,11.566666666666666,1986,3,,5|14|15|4|6|18|2|7|13|9|12|1|11|10|8|3|17|16
25,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,29,22000,Became a little better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,632,Bulgarian,Direct,10.533333333333333,1990,3,,11|6|14|4|16|18|5|2|3|9|13|8|1|7|17|10|15|12
26,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Other,27,18000,Has not changed,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,761,Bulgarian,Direct,12.683333333333334,1992,3,,8|15|12|5|2|18|11|4|17|7|1|16|6|9|14|10|13|3
27,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,30,20000,Became a little better,I paid everything but saved nothing,University MBA,I pay off much of the balance,0,0,0,0,1,,Bulgaria,651,Bulgarian,Direct,10.85,1989,1,,3|2|14|9|15|18|17|1|13|12|16|5|10|8|11|6|7|4
28,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,Female,24,0,Has not changed,I paid everything but saved nothing,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,449,Bulgarian,Direct,7.483333333333333,1995,1,,11|14|15|7|4|18|9|8|5|12|13|10|1|2|3|17|16|6
29,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,57,10000,Became a little better,I paid everything and saved some,Vocational school,I never purchase anything on credit or take on debt,0,1,0,0,0,1.0,Bulgaria,743,Bulgarian,Direct,12.383333333333333,1962,3,,12|4|5|15|17|18|11|1|2|14|13|3|8|10|6|9|7|16
30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Male,27,20000,Became a little worse,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,439,Bulgarian,Direct,7.316666666666666,1992,1,,14|13|5|15|9|18|2|17|3|16|4|8|11|1|10|12|6|7
31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,Male,32,24000,Became much better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,555,Bulgarian,Direct,9.25,1987,3,,8|14|7|6|11|18|4|12|3|15|13|5|9|17|1|2|10|16
32,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Male,26,6000,Became a little better,I paid everything and saved some,University Undergraduate,I make the minimum payment and the interest is charged,0,0,0,0,0,1.0,Bulgaria,439,Bulgarian,Direct,7.316666666666666,1993,3,,14|6|7|9|12|18|10|13|16|15|11|3|17|8|2|1|5|4
33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Female,67,30000,Became a little worse,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,1,0,0,1,,Bulgaria,727,Bulgarian,Direct,12.116666666666667,1952,1,,12|17|9|7|11|18|6|1|2|3|5|14|4|10|16|13|8|15
