Country,Effect,Item 1,Item 2,A1,B1,A2,B2,OR,p-value,OR2,Significance,Contrast,Sample Size,Significant,LogOR,Significance2,LogOR_difference,Replicates
Bulgaria,Certainty Effect,1,2,23.0,104.0,72.0,55.0,0.16893696581196582,2.4254159261793634e-10,5.919367588932806,True,1 vs 2,127.0,Yes,-1.7782296169958074,1.0,-1.3437963818824756,Yes
Bulgaria,Certainty Effect,3,4,15.0,112.0,65.0,62.0,0.12774725274725274,1.0807560769063429e-11,7.827956989247313,True,3 vs 4,127.0,Yes,-2.05770155504343,1.0,0.04078037034492832,Yes
Bulgaria,Certainty Effect,7,8,109.0,18.0,76.0,51.0,4.06359649122807,4.697617631551864e-06,4.06359649122807,True,7 vs 8,127.0,Yes,1.4020684167709736,1.0,-1.3028518913223088,Yes
Bulgaria,Reflection Effect,3,7,15.0,112.0,109.0,18.0,0.02211664482306684,5.761813128028639e-35,45.214814814814815,True,3 vs 7,127.0,Yes,-3.8114247945258635,1.0,0.03866385643122516,Yes
Bulgaria,Reflection Effect,4,8,65.0,62.0,76.0,51.0,0.7035229202037352,0.20664196229921558,1.421417797888386,False,4 vs 8,127.0,No,-0.3516548227114597,0.0,-1.3007353774086057,No
Bulgaria,Reflection Effect,5,9,16.0,111.0,103.0,24.0,0.03358698504329572,9.452093714350805e-30,29.7734375,True,5 vs 9,127.0,Yes,-3.3936166369542433,1.0,-0.9536460052832987,Yes
Bulgaria,Reflection Effect,6,10,82.0,45.0,71.0,56.0,1.437245696400626,0.19971247745561815,1.437245696400626,False,6 vs 10,127.0,No,0.36272857118776713,0.0,-1.4510098047590634,No
Bulgaria,Reflection Effect,16,17,79.0,48.0,77.0,50.0,1.0687229437229437,0.8974808062606869,1.0687229437229437,False,16 vs 17,127.0,No,0.0664644251335928,0.0,-2.498484932327944,No
Bulgaria,Isolation Effect,4,11,65.0,62.0,21.0,106.0,5.291858678955453,6.790727001138512e-09,5.291858678955453,True,4 vs 11,127.0,Yes,1.6661695412391897,1.0,-0.2309504436466916,Yes
Bulgaria,Overweighting of small probabilities,5,6,16.0,111.0,82.0,45.0,0.07910349373764008,5.024270569877187e-18,12.641666666666666,True,5 vs 6,127.0,Yes,-2.536998236566486,1.0,-0.28965770694357085,Yes
Bulgaria,Overweighting of small probabilities,9,10,103.0,24.0,71.0,56.0,3.384976525821596,2.371506459415856e-05,3.384976525821596,True,9 vs 10,127.0,Yes,1.2193469715755239,1.0,-2.1149981030987908,Yes
Bulgaria,Framing Effect,12,13,34.0,93.0,83.0,44.0,0.19380748801658246,9.433348390081932e-10,5.15975935828877,True,12 vs 13,127.0,Yes,-1.6408899424154313,1.0,-0.8443773926785532,Yes
Bulgaria,Range Adaptation,14,15,26.0,101.0,82.0,45.0,0.14127022458343394,1.1518631778459554e-12,7.078632478632479,True,14 vs 15,127.0,Yes,-1.9570807363137108,1.0,-0.4455878152373174,Yes
Hong Kong,Certainty Effect,1,2,36.0,124.0,116.0,44.0,0.11012235817575083,1.5429197763849838e-19,9.080808080808081,True,1 vs 2,160.0,Yes,-2.20616318433703,1.0,-0.9158628145412528,Yes
Hong Kong,Certainty Effect,3,4,30.0,130.0,98.0,62.0,0.14599686028257458,6.586141057008566e-15,6.849462365591397,True,3 vs 4,160.0,Yes,-1.9241701624189074,1.0,-0.09275102227959442,Yes
Hong Kong,Certainty Effect,7,8,114.0,46.0,69.0,91.0,3.268431001890359,5.575264780429902e-07,3.268431001890359,True,7 vs 8,160.0,Yes,1.184310053824991,1.0,-1.5206102542682913,Yes
Hong Kong,Reflection Effect,3,7,30.0,130.0,114.0,46.0,0.0931174089068826,1.0573831437424896e-21,10.739130434782608,True,3 vs 7,160.0,Yes,-2.3738941206988273,1.0,-1.398866817395811,Yes
Hong Kong,Reflection Effect,4,8,98.0,62.0,69.0,91.0,2.0846189808321647,0.0016847963322068342,2.0846189808321647,True,4 vs 8,160.0,Yes,0.734586095545071,1.0,-0.214494459152075,Yes
Hong Kong,Reflection Effect,5,9,33.0,127.0,111.0,49.0,0.1147052564375399,9.262265398065748e-19,8.71799628942486,True,5 vs 9,160.0,Yes,-2.1653894281938184,1.0,-2.1818732140437236,Yes
Hong Kong,Reflection Effect,6,10,108.0,52.0,68.0,92.0,2.8099547511312215,1.0606911582648916e-05,2.8099547511312215,True,6 vs 10,160.0,Yes,1.033168380415726,1.0,-0.7805699955311045,Yes
Hong Kong,Reflection Effect,16,17,96.0,64.0,74.0,86.0,1.7432432432432432,0.018507918213727804,1.7432432432432432,True,16 vs 17,160.0,Yes,0.5557473111575023,1.0,-2.0092020463040345,Yes
