Country,Item,Deviation,Sample Size,Sign Difference,p-value,Succesful Replication
Australia,1,-0.26680851063829786,282,False,0.0740225429253814,0.0
Austria,1,-0.018198198198198207,111,False,2.0259796880671267e-10,1.0
Belgium,1,-0.01270833333333335,192,False,1.652779364242073e-17,1.0
Bulgaria,1,-0.0011023622047244275,127,False,6.594603093176296e-13,1.0
Chile,1,-0.006206896551724156,145,False,4.120326431880587e-14,1.0
Denmark,1,-0.020000000000000018,150,False,2.0048960802803017e-13,1.0
Germany,1,-0.15333333333333332,327,False,1.6629521677637779e-09,1.0
Hong Kong,1,-0.04500000000000001,160,False,3.4756819462822346e-12,1.0
Hungary,1,-0.07514403292181071,243,False,2.2783870282269937e-14,1.0
Ireland,1,0.03937499999999999,256,False,1.3191542892227499e-30,1.0
Italy,1,-0.08578073089701,301,False,4.396649104851008e-16,1.0
Mainland China,1,-0.009189189189189206,259,False,1.4628419887393052e-23,1.0
Norway,1,0.0030088495575221197,226,False,2.686164970580998e-22,1.0
Serbia,1,-0.14113821138211385,246,False,2.0153886181265196e-08,1.0
Slovenia,1,-0.06752475247524753,202,False,7.141678727129177e-13,1.0
Spain,1,-0.09638190954773868,199,False,2.8076661116216906e-10,1.0
Sweden,1,-0.04302158273381296,139,False,6.53081140149318e-11,1.0
UK,1,-0.13379310344827589,290,False,2.268331686841061e-10,1.0
USA,1,-0.07102880658436217,243,False,8.349917820336474e-15,1.0
Australia,2,-0.12432624113475177,282,False,4.925760659687795e-12,1.0
Austria,2,-0.28045045045045036,111,False,0.29645124868184547,0.0
Belgium,2,-0.1841666666666666,192,False,5.312128159411727e-05,1.0
Bulgaria,2,-0.26307086614173225,127,False,0.13142505533707352,0.0
Chile,2,-0.2644827586206896,145,False,0.11459683003899199,0.0
Denmark,2,-0.23666666666666658,150,False,0.02224312059134998,1.0
Germany,2,-0.13581039755351676,327,False,2.169738482924937e-12,1.0
Hong Kong,2,-0.10499999999999998,160,False,1.2548647497615138e-08,1.0
Hungary,2,-0.3032510288065843,243,False,0.4043089408397825,0.0
Ireland,2,-0.25578124999999996,256,False,0.017548950191476703,1.0
Italy,2,-0.18215946843853814,301,False,2.8993507654031813e-07,1.0
Mainland China,2,-0.20837837837837836,259,False,9.05431226207686e-05,1.0
Norway,2,-0.33884955752212387,226,True,0.7901806457588175,0.0
Serbia,2,-0.17552845528455285,246,False,1.2624040870591628e-06,1.0
Slovenia,2,-0.17653465346534647,202,False,1.2869941151984898e-05,1.0
Spain,2,-0.1666834170854271,199,False,4.070930377686271e-06,1.0
Sweden,2,-0.26165467625899275,139,False,0.1070579459659198,0.0
UK,2,-0.23689655172413793,290,False,0.0015192079890850654,1.0
USA,2,-0.2374074074074074,243,False,0.003892417122778637,1.0
Australia,3,0.047517730496453914,282,False,1.7797975354564063e-31,1.0
Austria,3,0.10990990990990993,111,False,5.753808327784143e-18,1.0
Belgium,3,0.07500000000000001,192,False,2.6877817946493693e-25,1.0
Bulgaria,3,0.08188976377952757,127,False,7.476358462481166e-18,1.0
Chile,3,0.09655172413793105,145,False,1.2940843978373517e-21,1.0
Denmark,3,0.1,150,False,1.1488347954122588e-22,1.0
Germany,3,0.059327217125382276,327,False,1.2970658713971247e-38,1.0
Hong Kong,3,0.012500000000000011,160,False,2.6644463892359247e-15,1.0
Hungary,3,0.08477366255144034,243,False,3.726359265401844e-33,1.0
Ireland,3,0.12187500000000001,256,False,1.563761461131596e-41,1.0
Italy,3,0.06710963455149502,301,False,3.6253455711557286e-37,1.0
Mainland China,3,-0.043243243243243246,259,False,1.4061357664822426e-16,1.0
Norway,3,0.12920353982300886,226,False,4.2352717431769537e-38,1.0
Serbia,3,0.02520325203252033,246,False,1.957824152381e-24,1.0
Slovenia,3,0.026732673267326756,202,False,1.5797310146805294e-20,1.0
Spain,3,0.08944723618090453,199,False,4.3814459666379155e-28,1.0
Sweden,3,0.12805755395683455,139,False,5.905769169866604e-24,1.0
UK,3,0.10344827586206898,290,False,5.771099264837015e-43,1.0
USA,3,0.10534979423868314,243,False,1.3106500079477392e-36,1.0
Australia,4,-0.12517730496453905,282,False,0.40445689647910366,0.0
Austria,4,-0.23558558558558562,111,True,0.07132538750704982,0.0
Belgium,4,-0.1604166666666667,192,True,0.7728299926844475,0.0
Bulgaria,4,-0.1381889763779528,127,False,0.7900798285930062,0.0
Chile,4,-0.17413793103448277,145,True,0.5610259094614842,0.0
Denmark,4,-0.19,150,True,0.3271868777903028,0.0
Germany,4,-0.12094801223241591,327,False,0.2933952930105381,0.0
Hong Kong,4,-0.03749999999999998,160,False,0.004426525857919834,1.0
Hungary,4,-0.1191358024691358,243,False,0.3359238131517329,0.0
Ireland,4,-0.22812500000000002,256,True,0.01241933065155227,0.0
Italy,4,-0.19485049833887047,301,True,0.11964767478121148,0.0
Mainland China,4,0.025675675675675635,259,False,1.5633256683774984e-08,1.0
Norway,4,-0.18097345132743364,226,True,0.35171590865414126,0.0
Serbia,4,-0.05650406504065042,246,False,0.0033586300235163907,1.0
Slovenia,4,-0.09059405940594056,202,False,0.09128957022600545,0.0
Spain,4,-0.09723618090452268,199,False,0.13657941805812765,0.0
Sweden,4,-0.19676258992805756,139,True,0.2701810957102303,0.0
UK,4,-0.15689655172413797,290,True,0.8142955955008919,0.0
USA,4,-0.21790123456790128,243,True,0.034264007734869095,0.0
Australia,5,0.044255319148936184,282,False,5.467517209662559e-42,1.0
Austria,5,0.013873873873873899,111,False,3.3263247193902724e-15,1.0
Belgium,5,0.06708333333333334,192,False,2.55264667977041e-32,1.0
Bulgaria,5,0.014015748031496078,127,False,3.459996412236155e-17,1.0
Chile,5,0.04344827586206898,145,False,2.5689564421847164e-22,1.0
Denmark,5,0.06000000000000001,150,False,7.993565505160002e-25,1.0
Germany,5,0.051314984709480135,327,False,4.737606535972786e-50,1.0
Hong Kong,5,-0.06624999999999998,160,False,1.0749282345979402e-13,1.0
Hungary,5,0.05769547325102882,243,False,9.11898659375231e-39,1.0
Ireland,5,0.08531250000000001,256,False,4.482812465387318e-46,1.0
Italy,5,0.046976744186046526,301,False,2.7970889459600464e-45,1.0
Mainland China,5,-0.10324324324324324,259,False,1.4061357664822426e-16,1.0
Norway,5,0.0736283185840708,226,False,7.465040221617956e-39,1.0
Serbia,5,-0.0835772357723577,246,False,4.2817884320055056e-18,1.0
Slovenia,5,0.03603960396039606,202,False,2.1256104545568618e-29,1.0
Spain,5,0.02442211055276383,199,False,2.0861291121214858e-27,1.0
Sweden,5,0.11841726618705037,139,False,1.6304539753487358e-29,1.0
