Country,Item,Proportion,Succesful Replication,Sample Size
Australia,1,0.44680851063829785,No,282
Austria,1,0.1981981981981982,Yes,111
Belgium,1,0.19270833333333334,Yes,192
Bulgaria,1,0.18110236220472442,Yes,127
Chile,1,0.18620689655172415,Yes,145
Denmark,1,0.2,Yes,150
Germany,1,0.3333333333333333,Yes,327
Hong Kong,1,0.225,Yes,160
Hungary,1,0.2551440329218107,Yes,243
Ireland,1,0.140625,Yes,256
Italy,1,0.26578073089701,Yes,301
Mainland China,1,0.1891891891891892,Yes,259
Norway,1,0.17699115044247787,Yes,226
Serbia,1,0.32113821138211385,Yes,246
Slovenia,1,0.24752475247524752,Yes,202
Spain,1,0.27638190954773867,Yes,199
Sweden,1,0.22302158273381295,Yes,139
UK,1,0.3137931034482759,Yes,290
USA,1,0.25102880658436216,Yes,243
Australia,2,0.7056737588652482,Yes,282
Austria,2,0.5495495495495496,No,111
Belgium,2,0.6458333333333334,Yes,192
Bulgaria,2,0.5669291338582677,No,127
Chile,2,0.5655172413793104,No,145
Denmark,2,0.5933333333333334,Yes,150
Germany,2,0.6941896024464832,Yes,327
Hong Kong,2,0.725,Yes,160
Hungary,2,0.5267489711934157,No,243
Ireland,2,0.57421875,Yes,256
Italy,2,0.6478405315614618,Yes,301
Mainland China,2,0.6216216216216216,Yes,259
Norway,2,0.4911504424778761,No,226
Serbia,2,0.6544715447154471,Yes,246
Slovenia,2,0.6534653465346535,Yes,202
Spain,2,0.6633165829145728,Yes,199
Sweden,2,0.5683453237410072,No,139
UK,2,0.593103448275862,Yes,290
USA,2,0.5925925925925926,Yes,243
Australia,3,0.1524822695035461,Yes,282
Austria,3,0.09009009009009009,Yes,111
Belgium,3,0.125,Yes,192
Bulgaria,3,0.11811023622047244,Yes,127
Chile,3,0.10344827586206896,Yes,145
Denmark,3,0.1,Yes,150
Germany,3,0.14067278287461774,Yes,327
Hong Kong,3,0.1875,Yes,160
Hungary,3,0.11522633744855967,Yes,243
Ireland,3,0.078125,Yes,256
Italy,3,0.132890365448505,Yes,301
Mainland China,3,0.24324324324324326,Yes,259
Norway,3,0.07079646017699115,Yes,226
Serbia,3,0.17479674796747968,Yes,246
Slovenia,3,0.17326732673267325,Yes,202
Spain,3,0.11055276381909548,Yes,199
Sweden,3,0.07194244604316546,Yes,139
UK,3,0.09655172413793103,Yes,290
USA,3,0.09465020576131687,Yes,243
Australia,4,0.524822695035461,No,282
Austria,4,0.4144144144144144,No,111
Belgium,4,0.4895833333333333,No,192
Bulgaria,4,0.5118110236220472,No,127
Chile,4,0.47586206896551725,No,145
Denmark,4,0.46,No,150
Germany,4,0.5290519877675841,No,327
