1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Gender,Age,Personal_Income,Financial_Situation,Bill_Payments,Education,Credit_Debt,Additional_Income_Private_Investment,Additional_Income_Property,Additional_Income_Business_Ownership,Additional_Income_Retirement_Plan,Loss_Awareness,Loss_Intuition,Country,Duration_in_seconds,Language,Sample,Duration_Minutes,YoB,Awareness_of_Loss_Aversion,Financial_Stress,Presentation_Order,Contrast_1_2,Contrast_3_4,Contrast_7_8,Contrast_3_7,Contrast_4_8,Contrast_5_9,Contrast_6_10,Contrast_16_17,Contrast_4_11,Contrast_5_6,Contrast_9_10,Contrast_12_13,Contrast_14_15
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,27,3000.0,Became a little better,I paid everything and saved some,University Undergraduate,I pay off any balances every month,0,0,1,0,0,1.0,Bulgaria,356,Bulgarian,Direct,5.933333333333334,1992,3,,4|6|2|3|17|18|14|8|7|15|1|12|11|5|13|16|9|10,Neither,PT,PT,PT,PT,EUT + PT,EUT + PT,EUT + PT,PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Female,40,24000.0,Became a little worse,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,931,Bulgarian,Direct,15.516666666666667,1979,1,,7|17|16|11|15|18|4|9|1|13|2|10|6|14|5|12|8|3,EUT + PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT,PT,EUT + PT,PT,EUT + PT,EUT + PT,PT,EUT + PT,PT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Female,44,10000.0,Has not changed,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,1,0,0,0,1.0,Bulgaria,462,Bulgarian,Direct,7.7,1975,3,,11|8|4|7|12|18|3|14|6|16|17|1|2|13|5|15|9|10,EUT + PT,EUT + PT,PT,PT,EUT + PT,EUT + PT,EUT + PT,Neither,EUT + PT,EUT + PT,EUT + PT,EUT + PT,PT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Male,42,1.0,Became a little better,I paid everything and saved some,University Masters,I generally pay off the interest but not the balance,0,1,0,0,1,,Bulgaria,412,Bulgarian,Direct,6.866666666666666,1977,1,,16|7|6|9|12|18|10|8|5|15|2|3|4|14|11|1|17|13,EUT + PT,EUT + PT,PT,PT,EUT + PT,PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT,PT,PT,PT
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Female,49,2000.0,Became a little better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,490,Bulgarian,Direct,8.166666666666666,1970,1,,13|4|3|7|9|18|16|8|14|1|6|12|17|10|5|2|11|15,EUT + PT,EUT + PT,EUT + PT,PT,Neither,PT,EUT + PT,EUT + PT,EUT + PT,PT,EUT + PT,EUT + PT,PT
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Female,59,38000.0,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,892,Bulgarian,Direct,14.866666666666667,1960,1,,12|9|7|10|6|18|8|5|2|17|11|4|3|14|1|15|13|16,EUT + PT,EUT + PT,EUT + PT,PT,Neither,EUT + PT,Neither,EUT + PT,EUT + PT,Neither,EUT + PT,EUT + PT,PT
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Female,44,9000.0,Became a little worse,I could not pay all my bills last month,University Undergraduate,I make the minimum payment and the interest is charged,0,0,0,1,0,0.0,Bulgaria,1616,Bulgarian,Direct,26.933333333333334,1975,4,,4|8|12|9|11|18|15|7|10|13|2|6|1|16|17|3|14|5,PT,EUT + PT,EUT + PT,PT,Neither,PT,PT,EUT + PT,EUT + PT,PT,PT,Neither,PT
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Female,41,40000.0,Has not changed,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,0,0.0,Bulgaria,409,Bulgarian,Direct,6.816666666666666,1978,4,,9|12|13|14|16|18|10|8|7|17|1|6|4|5|2|15|11|3,EUT + PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT,PT,EUT + PT,EUT + PT,EUT + PT,PT,EUT + PT,PT,EUT + PT
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,33,2300.0,Became a little worse,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,680,Bulgarian,Direct,11.333333333333334,1986,3,,6|13|7|8|5|18|10|11|17|3|2|1|16|12|4|14|15|9,EUT + PT,Neither,PT,EUT + PT,EUT + PT,PT,PT,Neither,Neither,PT,PT,PT,PT
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Female,37,60000.0,Became a little better,"I paid everything, saved some, and paid down other debts",University PhD,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,645,Bulgarian,Direct,10.75,1982,3,,5|3|2|15|9|18|12|10|17|13|11|16|7|14|1|6|4|8,PT,EUT + PT,PT,EUT + PT,PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT,EUT + PT
